time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,7.32718849099e-08,-8.05819678382e-08,10.0034850176,6.28290027821,6.28306469092,0.0,8.38590762766e-06,-1.51884344831e-05,0.116161743188,-0.0165285193145,-0.00636917550152,0.0,442.05982356904065,441.5348153998013,442.87883383643396,441.5175967438059
0.12000000000000001,5.04029401857e-06,-1.23971029591e-05,10.0174626781,6.28145225219,6.28289771939,0.0,0.000189612251559,-0.000534387705783,0.349717316529,-0.0471608946298,0.00356743617999,0.0,477.97998678086924,478.7365763273982,477.6705709894514,475.32906625954365
0.18,2.19659775608e-05,-9.46725558922e-05,10.0429942083,6.27845727693,6.2830539514,0.0,0.000354183314319,-0.00252659558595,0.501277964246,-0.056089150287,0.000603374942648,0.0,453.8243868443391,453.5863967357265,452.88737146262895,452.167254758804
0.23999999999999996,4.55157908321e-05,-0.000352418380939,10.0753300831,6.2754822146,9.95913968396e-05,0.0,0.00041699836236,-0.00637412555321,0.576547283014,-0.0390097817274,0.00965777288956,0.0,428.8763303521813,429.64450103253455,428.5391276265326,429.9865131721748
0.3,6.57070938571e-05,-0.000929034548639,10.11611632,6.2729755386,0.000454446424362,0.0,0.000199514508666,-0.013130037546,0.782872682093,-0.0479836559906,-0.00288399113309,0.0,471.8612276570465,470.89209139720526,468.582950401635,467.8840597653455
0.36000000000000004,6.96736929364e-05,-0.00192188891562,10.1645793481,6.2706644965,7.83929451913e-05,0.0,-4.23078131278e-05,-0.0202056703118,0.832523700055,-0.0242737149814,-0.01407938894,0.0,421.624504122312,420.6563738256981,420.3846500050943,422.4329068995157
0.4200000000000001,6.85455279268e-05,-0.00338872406419,10.216779248,6.26935992739,6.28257622655,0.0,7.95545676456e-05,-0.0288234001014,0.907414244804,-0.0171092705925,-0.0066721891617,0.0,428.8883263530836,429.5170130847652,429.6891080031849,430.2959283273431
0.48000000000000015,8.70723816128e-05,-0.00539889958242,10.2736088931,6.26786035952,6.28185643746,0.0,0.000590419403696,-0.0382979157207,0.986839846395,-0.0494987477512,-0.0256442450819,0.0,432.2197756153396,430.61815694261986,432.334547915247,429.5968985909024
0.5400000000000001,0.00015716840448,-0.00803758954742,10.336676695,6.26548091388,6.27989956091,0.0,0.00192514340172,-0.0499353893101,1.11529826171,-0.0249864147818,-0.0526119093619,0.0,447.94359344636365,445.7448959842698,445.87770904429783,447.8746263542964
0.6000000000000002,0.000360316486554,-0.0114395241347,10.4085544587,6.26465655928,6.27658343036,0.0,0.00520648802587,-0.0635821512063,1.28045254784,0.00247145485916,-0.0611942202046,0.0,458.9135898435138,458.2299499911731,457.12173594063586,459.3043624685132
0.6600000000000003,0.000820480294509,-0.0156297905795,10.4880030499,6.26476595823,6.27263397968,0.0,0.010510983224,-0.076078734573,1.36773012727,0.000494365056555,-0.0772185526034,0.0,434.8556631753224,433.50796193914186,434.96969892579835,434.8040732326684
0.7200000000000003,0.00164081479559,-0.0205007442724,10.5690285572,6.26470008347,6.26797651261,0.0,0.0172153267192,-0.0862886099053,1.33315641005,-0.00448972364344,-0.078448353476,0.0,393.4419831516118,393.32246576890066,394.6088337885833,394.1485425704077
0.7800000000000004,0.00308126144006,-0.0261477593177,10.6566970789,6.26456022807,6.26326358123,0.0,0.0313833676963,-0.101964574091,1.58879708376,0.00167073275688,-0.0787505020024,0.0,485.6352394762265,485.60822297247523,485.2902021690392,485.75239777454107
0.8400000000000004,0.00548824853006,-0.0327350294135,10.759580241,6.26467720415,6.25891286517,0.0,0.0494036137549,-0.117590789485,1.8402588234,0.0025016305701,-0.0622968959027,0.0,484.0488673536305,485.2816858306071,485.43656324272024,485.4988620512666
0.9000000000000005,0.00906337154636,-0.0402428895766,10.8767965768,6.2647546015,6.25505083097,0.0,0.0702157564946,-0.132650451175,2.06655857751,-0.00125095923034,-0.0688653689749,0.0,479.33936057101084,478.8372470031583,478.23868170668055,477.95276050258724
0.9600000000000005,0.0138799347678,-0.04858792989,11.0040331658,6.26439501342,6.25145048029,0.0,0.0907250606039,-0.145534125127,2.1744482871,-0.017744933595,-0.0464723259624,0.0,442.9444243468297,444.7793373210806,444.15578724308136,442.80114550163086
1.0200000000000005,0.0201022436214,-0.0577799733111,11.1410366514,6.26318504459,6.24971257137,0.0,0.116925828228,-0.160994472858,2.39189213396,-0.0255107004878,-0.00696376437729,0.0,475.93852680213536,478.9522148597803,477.375260985606,476.7823937247274
1.0800000000000005,0.0279194810307,-0.0679236521087,11.2907798603,6.26236543595,6.24942990926,0.0,0.143674183108,-0.177249828191,2.5990936081,0.00318032222117,-0.000548326494137,0.0,474.75598486967147,475.2480371983173,474.2309451083458,476.42964022429084
1.1400000000000006,0.0372813794046,-0.079014961684,11.4510186978,6.26199473023,6.24933685936,0.0,0.168384048644,-0.192445786056,2.7418667186,-0.0416243756487,-0.0036354263358,0.0,457.41869837229143,457.1728276405007,458.14310505838415,454.5667853174971
1.2000000000000006,0.0481567699694,-0.0910557647786,11.6206537575,6.25953373664,6.24889955995,0.0,0.194149461451,-0.209184025533,2.91220563878,-0.0398281381219,-0.0158344807478,0.0,465.6230705880041,464.667848398877,466.51673118506056,466.65616458304453
1.2600000000000007,0.0605739167411,-0.104145033404,11.8000251147,6.25696971773,6.24825324556,0.0,0.219826849565,-0.227387062879,3.06642431682,-0.0492887084493,-0.00219671108481,0.0,461.1051774095198,462.1814040310346,462.5506419954811,461.80405274753883
